# number / title	text	type	code	data
Vastaavaa				
__Pysyvät vastaavat				
4092	Rakennusten poistoero	LIABILITY		
4094	Koneiden ja kaluston poistoero	LIABILITY		
4096	Muiden aineellisten hyödykkeiden poistoero	LIABILITY		
___Vapaaehtoiset varaukset				
4100	Käyttöomaisuuden jälleenhankintavaraus	LIABILITY		
4105	Toimitilan jälleenhankintavaraus	LIABILITY		
4110	Luottotappiovaraus	LIABILITY		
4115	Takuuvaraus	LIABILITY		
4120	Toimintavaraus	LIABILITY		
4125	Hankintamenon muutosvaraus	LIABILITY		
4130	Muut vapaaehtoiset varaukset	LIABILITY		
__Pakolliset varaukset				
___Eläkevaraukset				
4150	Eläkevaraukset	LIABILITY		
___Verovaraukset				
4160	Verovaraukset	LIABILITY		
___Muut pakolliset varaukset				
4170	Oikeudenkäyntivaraus	LIABILITY		
4175	Hinnanlaskuvaraus	LIABILITY		
4180	Muut pakolliset varaukset	LIABILITY		
__Vieras pääoma				
___Pitkäaikainen vieras pääoma				
____Joukkovelkakirjalainat				
4190	Pitkäaikaiset joukkovelkakirjalainat	LIABILITY		
4195	Pitkäaikaiset obligaatiolainat	LIABILITY		
4200	Pitkäaikaiset debentuurilainat	LIABILITY		
4205	Muut joukkovelkakirjalainat	LIABILITY		
____Vaihtovelkakirjalainat				
4215	Pitkäaikaiset vaihtovelkakirjalainat	LIABILITY		
____Lainat  rahoituslaitoksilta				
4225	Pitkäaikainen rahoituslaitoslaina 1	LIABILITY		
4227	Pitkäaikainen rahoituslaitoslaina 2	LIABILITY		
4229	Pitkäaikainen rahoituslaitoslaina 3	LIABILITY		
4231	Muut pitkäaikaiset lainat rahoituslaitoksilta	LIABILITY		
____Lainat  osakevälittäjiltä				
4250	Nordnet Superluotto EUR	LIABILITY	____STOCK_BROKER_LOANS	{"plugin": "NordnetImport"}
4252	Lynx marginaalilaina EUR	LIABILITY	____STOCK_BROKER_LOANS	{"plugin": "LynxImport"}
425201	Lynx marginaalilaina AUD	LIABILITY	____STOCK_BROKER_LOANS	{"plugin": "LynxImport", "currency": "AUD"}
425202	Lynx marginaalilaina CNH	LIABILITY	____STOCK_BROKER_LOANS	{"plugin": "LynxImport", "currency": "CNH"}
425203	Lynx marginaalilaina DKK	LIABILITY	____STOCK_BROKER_LOANS	{"plugin": "LynxImport", "currency": "DKK"}
425204	Lynx marginaalilaina GBP	LIABILITY	____STOCK_BROKER_LOANS	{"plugin": "LynxImport", "currency": "GBP"}
425205	Lynx marginaalilaina HKD	LIABILITY	____STOCK_BROKER_LOANS	{"plugin": "LynxImport", "currency": "HKD"}
425206	Lynx marginaalilaina ILS	LIABILITY	____STOCK_BROKER_LOANS	{"plugin": "LynxImport", "currency": "ILS"}
425207	Lynx marginaalilaina JPY	LIABILITY	____STOCK_BROKER_LOANS	{"plugin": "LynxImport", "currency": "JPY"}
425208	Lynx marginaalilaina CAD	LIABILITY	____STOCK_BROKER_LOANS	{"plugin": "LynxImport", "currency": "CAD"}
425209	Lynx marginaalilaina MXN	LIABILITY	____STOCK_BROKER_LOANS	{"plugin": "LynxImport", "currency": "MXN"}
425210	Lynx marginaalilaina NZD	LIABILITY	____STOCK_BROKER_LOANS	{"plugin": "LynxImport", "currency": "NZD"}
425211	Lynx marginaalilaina NOK	LIABILITY	____STOCK_BROKER_LOANS	{"plugin": "LynxImport", "currency": "NOK"}
